id,sentence,foreignDomain,ignore,labelState,frequencyState,is_ardu,pairs_i,pairs_text,pairs_pos,pairs_dep,pairs_lemma
225525,Second attempt 1.5 minutes later to climb at max throttle resulted in avg vertical speed of 0.44m/s.,False,False,accepting,singel,True,"[{""cause"": [6, 7, 8, 9], ""effect"": [12, 13, 14, 15, 16, 17]}]","[{""cause"": [""climb"", ""at"", ""max"", ""throttle""], ""effect"": [""avg"", ""vertical"", ""speed"", ""of"", ""0.44"", ""m/s""]}]","[{""cause"": [""VERB"", ""ADP"", ""PROPN"", ""NOUN""], ""effect"": [""NOUN"", ""ADJ"", ""NOUN"", ""ADP"", ""NUM"", ""NOUN""]}]","[{""cause"": [""xcomp"", ""prep"", ""compound"", ""pobj""], ""effect"": [""nmod"", ""amod"", ""pobj"", ""prep"", ""nummod"", ""pobj""]}]","[{""cause"": [""climb"", ""at"", ""max"", ""throttle""], ""effect"": [""avg"", ""vertical"", ""speed"", ""of"", ""0.44"", ""m/s""]}]"
124793,This only happened if the thrust line of the aircraft combined with low pitch integrator gain led to the aircraft not compensating sufficiently with elevator at full throttle in a tecs underspeed state.,False,False,accepting,singel,True,"[{""cause"": [5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], ""effect"": [19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]}]","[{""cause"": [""thrust"", ""line"", ""of"", ""the"", ""aircraft"", ""combined"", ""with"", ""low"", ""pitch"", ""integrator"", ""gain""], ""effect"": [""aircraft"", ""not"", ""compensating"", ""sufficiently"", ""with"", ""elevator"", ""at"", ""full"", ""throttle"", ""in"", ""a"", ""tecs"", ""underspeed"", ""state""]}]","[{""cause"": [""ADJ"", ""NOUN"", ""ADP"", ""DET"", ""NOUN"", ""VERB"", ""ADP"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN""], ""effect"": [""NOUN"", ""PART"", ""VERB"", ""ADV"", ""ADP"", ""NOUN"", ""ADP"", ""ADJ"", ""NOUN"", ""ADP"", ""DET"", ""NOUN"", ""NOUN"", ""NOUN""]}]","[{""cause"": [""amod"", ""nsubj"", ""prep"", ""det"", ""pobj"", ""acl"", ""prep"", ""amod"", ""compound"", ""compound"", ""pobj""], ""effect"": [""pobj"", ""neg"", ""acl"", ""advmod"", ""prep"", ""pobj"", ""prep"", ""amod"", ""pobj"", ""prep"", ""det"", ""compound"", ""compound"", ""pobj""]}]","[{""cause"": [""thrust"", ""line"", ""of"", ""the"", ""aircraft"", ""combine"", ""with"", ""low"", ""pitch"", ""integrator"", ""gain""], ""effect"": [""aircraft"", ""not"", ""compensate"", ""sufficiently"", ""with"", ""elevator"", ""at"", ""full"", ""throttle"", ""in"", ""a"", ""tecs"", ""underspeed"", ""state""]}]"
480983,"The next parameter navl1_period, a low value leads to a low level of response to a control error, a large value causes the course to return aggressively, i stopped at the value of 25 seconds.",False,False,accepting,multiple,True,"[{""cause"": [3, 6, 7], ""effect"": [11, 12, 13, 14, 15, 16, 17, 18]}, {""cause"": [3, 21, 22], ""effect"": [25, 27, 28]}]","[{""cause"": [""navl1_period"", ""low"", ""value""], ""effect"": [""low"", ""level"", ""of"", ""response"", ""to"", ""a"", ""control"", ""error""]}, {""cause"": [""navl1_period"", ""large"", ""value""], ""effect"": [""course"", ""return"", ""aggressively""]}]","[{""cause"": [""NOUN"", ""ADJ"", ""NOUN""], ""effect"": [""ADJ"", ""NOUN"", ""ADP"", ""NOUN"", ""ADP"", ""DET"", ""NOUN"", ""NOUN""]}, {""cause"": [""NOUN"", ""ADJ"", ""NOUN""], ""effect"": [""NOUN"", ""VERB"", ""ADV""]}]","[{""cause"": [""appos"", ""amod"", ""nsubj""], ""effect"": [""amod"", ""pobj"", ""prep"", ""pobj"", ""prep"", ""det"", ""compound"", ""pobj""]}, {""cause"": [""appos"", ""amod"", ""nsubj""], ""effect"": [""nsubj"", ""ccomp"", ""advmod""]}]","[{""cause"": [""navl1_period"", ""low"", ""value""], ""effect"": [""low"", ""level"", ""of"", ""response"", ""to"", ""a"", ""control"", ""error""]}, {""cause"": [""navl1_period"", ""large"", ""value""], ""effect"": [""course"", ""return"", ""aggressively""]}]"
576437,Vibration levels are causing a lot of clipping events.,False,False,accepting,singel,True,"[{""cause"": [0, 1], ""effect"": [5, 7, 8]}]","[{""cause"": [""Vibration"", ""levels""], ""effect"": [""lot"", ""clipping"", ""events""]}]","[{""cause"": [""NOUN"", ""NOUN""], ""effect"": [""NOUN"", ""VERB"", ""NOUN""]}]","[{""cause"": [""compound"", ""nsubj""], ""effect"": [""dobj"", ""amod"", ""pobj""]}]","[{""cause"": [""vibration"", ""level""], ""effect"": [""lot"", ""clip"", ""event""]}]"
351634,Wrn: comparing the assembly name resulted in the mismatch: build number.,False,True,accepting,none,True,[],[],[],[],[]
133362,The tx will generate a ppm siginal and pass it to the tx radio module.,False,False,accepting,singel,True,"[{""cause"": [1], ""effect"": [5, 6]}]","[{""cause"": [""tx""], ""effect"": [""ppm"", ""siginal""]}]","[{""cause"": [""PROPN""], ""effect"": [""NOUN"", ""ADJ""]}]","[{""cause"": [""nsubj""], ""effect"": [""compound"", ""dobj""]}]","[{""cause"": [""tx""], ""effect"": [""ppm"", ""siginal""]}]"
742878,How can almost 90 deg offset between target and current heading not result in piddesired changing?,False,False,accepting,none,True,[],[],[],[],[]
453922,And it might possibly not actually lift as much as the two-blade because the three-blade rotor also produces more total drag than the two-blade.,False,False,accepting,none,True,[],[],[],[],[]
405166,"Please be aware that switching to any other android application or settings, inclusive of notifications drawer will lead to joystick stop functioning. hence, please beware of changing settings like brightness during flight.",False,False,accepting,multiple,True,"[{""cause"": [4, 5, 7, 8, 9, 13, 14, 15, 16], ""effect"": [20, 21, 22]}, {""cause"": [4, 5, 7, 8, 11, 13, 14, 15, 16], ""effect"": [20, 21, 22]}]","[{""cause"": [""switching"", ""to"", ""other"", ""android"", ""application"", ""inclusive"", ""of"", ""notifications"", ""drawer""], ""effect"": [""joystick"", ""stop"", ""functioning""]}, {""cause"": [""switching"", ""to"", ""other"", ""android"", ""settings"", ""inclusive"", ""of"", ""notifications"", ""drawer""], ""effect"": [""joystick"", ""stop"", ""functioning""]}]","[{""cause"": [""VERB"", ""ADP"", ""ADJ"", ""ADJ"", ""NOUN"", ""ADJ"", ""ADP"", ""NOUN"", ""NOUN""], ""effect"": [""NOUN"", ""VERB"", ""VERB""]}, {""cause"": [""VERB"", ""ADP"", ""ADJ"", ""ADJ"", ""NOUN"", ""ADJ"", ""ADP"", ""NOUN"", ""NOUN""], ""effect"": [""NOUN"", ""VERB"", ""VERB""]}]","[{""cause"": [""advcl"", ""prep"", ""amod"", ""compound"", ""pobj"", ""nsubj"", ""prep"", ""compound"", ""pobj""], ""effect"": [""compound"", ""pobj"", ""advcl""]}, {""cause"": [""advcl"", ""prep"", ""amod"", ""compound"", ""conj"", ""nsubj"", ""prep"", ""compound"", ""pobj""], ""effect"": [""compound"", ""pobj"", ""advcl""]}]","[{""cause"": [""switch"", ""to"", ""other"", ""android"", ""application"", ""inclusive"", ""of"", ""notification"", ""drawer""], ""effect"": [""joystick"", ""stop"", ""function""]}, {""cause"": [""switch"", ""to"", ""other"", ""android"", ""setting"", ""inclusive"", ""of"", ""notification"", ""drawer""], ""effect"": [""joystick"", ""stop"", ""function""]}]"
387200,"In fact, this is recommended since a bad or uncalibrated sensor can cause more harm than good.",False,False,accepting,multiple,True,"[{""cause"": [8, 11], ""effect"": [14, 15, 16, 17]}, {""cause"": [10, 11], ""effect"": [14, 15, 16, 17]}]","[{""cause"": [""bad"", ""sensor""], ""effect"": [""more"", ""harm"", ""than"", ""good""]}, {""cause"": [""uncalibrated"", ""sensor""], ""effect"": [""more"", ""harm"", ""than"", ""good""]}]","[{""cause"": [""ADJ"", ""NOUN""], ""effect"": [""ADJ"", ""NOUN"", ""ADP"", ""ADJ""]}, {""cause"": [""ADJ"", ""NOUN""], ""effect"": [""ADJ"", ""NOUN"", ""ADP"", ""ADJ""]}]","[{""cause"": [""amod"", ""nsubj""], ""effect"": [""amod"", ""dobj"", ""prep"", ""amod""]}, {""cause"": [""conj"", ""nsubj""], ""effect"": [""amod"", ""dobj"", ""prep"", ""amod""]}]","[{""cause"": [""bad"", ""sensor""], ""effect"": [""more"", ""harm"", ""than"", ""good""]}, {""cause"": [""uncalibrated"", ""sensor""], ""effect"": [""more"", ""harm"", ""than"", ""good""]}]"
751208,So a vibration at 500hz can produce aliasing even when you sample at 4khz if there is insufficient attenuation in the harmonics.,False,False,accepting,singel,True,"[{""cause"": [2, 3, 4], ""effect"": [7]}]","[{""cause"": [""vibration"", ""at"", ""500hz""], ""effect"": [""aliasing""]}]","[{""cause"": [""NOUN"", ""ADP"", ""NOUN""], ""effect"": [""NOUN""]}]","[{""cause"": [""nsubj"", ""prep"", ""pobj""], ""effect"": [""dobj""]}]","[{""cause"": [""vibration"", ""at"", ""500hz""], ""effect"": [""aliasing""]}]"
170317,"So it looks like you put the yaw p gain at 0.2 which is at a level that draws out the instability in yaw but maybe not as bad. it appears that the notch in roll is causing some changes to the dynamics and further exacerbating the instability. it is seen more in roll than in yaw. i suspect if you backed off the p gain in yaw, the instability in roll would calm down and you could then raise the roll p gain and tune it. however this puts you at a crossroad.",False,False,accepting,multiple,True,"[{""cause"": [34, 35, 36], ""effect"": [40, 41, 42, 43]}, {""cause"": [34, 35, 36], ""effect"": [45, 46, 47, 48]}, {""cause"": [64, 65, 66, 67, 68, 69, 70], ""effect"": [75, 76, 77, 78]}]","[{""cause"": [""notch"", ""in"", ""roll""], ""effect"": [""changes"", ""to"", ""the"", ""dynamics""]}, {""cause"": [""notch"", ""in"", ""roll""], ""effect"": [""further"", ""exacerbating"", ""the"", ""instability""]}, {""cause"": [""backed"", ""off"", ""the"", ""p"", ""gain"", ""in"", ""yaw""], ""effect"": [""roll"", ""would"", ""calm"", ""down""]}]","[{""cause"": [""NOUN"", ""ADP"", ""NOUN""], ""effect"": [""NOUN"", ""ADP"", ""DET"", ""NOUN""]}, {""cause"": [""NOUN"", ""ADP"", ""NOUN""], ""effect"": [""ADV"", ""VERB"", ""DET"", ""NOUN""]}, {""cause"": [""VERB"", ""ADP"", ""DET"", ""NOUN"", ""NOUN"", ""ADP"", ""PROPN""], ""effect"": [""NOUN"", ""AUX"", ""VERB"", ""ADP""]}]","[{""cause"": [""nsubj"", ""prep"", ""pobj""], ""effect"": [""dobj"", ""prep"", ""det"", ""pobj""]}, {""cause"": [""nsubj"", ""prep"", ""pobj""], ""effect"": [""advmod"", ""advcl"", ""det"", ""dobj""]}, {""cause"": [""advcl"", ""prep"", ""det"", ""compound"", ""pobj"", ""prep"", ""pobj""], ""effect"": [""pobj"", ""aux"", ""ccomp"", ""prt""]}]","[{""cause"": [""notch"", ""in"", ""roll""], ""effect"": [""change"", ""to"", ""the"", ""dynamic""]}, {""cause"": [""notch"", ""in"", ""roll""], ""effect"": [""far"", ""exacerbate"", ""the"", ""instability""]}, {""cause"": [""back"", ""off"", ""the"", ""p"", ""gain"", ""in"", ""yaw""], ""effect"": [""roll"", ""would"", ""calm"", ""down""]}]"
292927,It looks like it was already on a collision course with the trees when the radio failsafe triggered an rtl.,False,False,accepting,singel,True,"[{""cause"": [15, 16], ""effect"": [19]}]","[{""cause"": [""radio"", ""failsafe""], ""effect"": [""rtl""]}]","[{""cause"": [""NOUN"", ""NOUN""], ""effect"": [""NOUN""]}]","[{""cause"": [""compound"", ""nsubj""], ""effect"": [""dobj""]}]","[{""cause"": [""radio"", ""failsafe""], ""effect"": [""rtl""]}]"
225787,Single motor failure will result in the copter flying but will spin out of control because of that motor.,False,False,accepting,singel,True,"[{""cause"": [0, 1, 2], ""effect"": [7, 8, 9, 10, 11, 12, 13, 14]}]","[{""cause"": [""Single"", ""motor"", ""failure""], ""effect"": [""copter"", ""flying"", ""but"", ""will"", ""spin"", ""out"", ""of"", ""control""]}]","[{""cause"": [""ADJ"", ""NOUN"", ""NOUN""], ""effect"": [""NOUN"", ""VERB"", ""CCONJ"", ""AUX"", ""VERB"", ""ADP"", ""ADP"", ""NOUN""]}]","[{""cause"": [""amod"", ""compound"", ""nsubj""], ""effect"": [""pobj"", ""advcl"", ""cc"", ""aux"", ""conj"", ""prt"", ""prep"", ""pobj""]}]","[{""cause"": [""single"", ""motor"", ""failure""], ""effect"": [""copter"", ""fly"", ""but"", ""will"", ""spin"", ""out"", ""of"", ""control""]}]"
551675,Aggressive control inputs can cause pulses in thrust.,False,False,accepting,singel,True,"[{""cause"": [0, 1, 2], ""effect"": [5, 6, 7]}]","[{""cause"": [""Aggressive"", ""control"", ""inputs""], ""effect"": [""pulses"", ""in"", ""thrust""]}]","[{""cause"": [""ADJ"", ""NOUN"", ""NOUN""], ""effect"": [""NOUN"", ""ADP"", ""NOUN""]}]","[{""cause"": [""amod"", ""compound"", ""nsubj""], ""effect"": [""dobj"", ""prep"", ""pobj""]}]","[{""cause"": [""aggressive"", ""control"", ""input""], ""effect"": [""pulse"", ""in"", ""thrust""]}]"
169778,"Yes, defaults resulted in a crash.",False,False,accepting,singel,True,"[{""cause"": [2], ""effect"": [6]}]","[{""cause"": [""defaults""], ""effect"": [""crash""]}]","[{""cause"": [""NOUN""], ""effect"": [""NOUN""]}]","[{""cause"": [""nsubj""], ""effect"": [""pobj""]}]","[{""cause"": [""default""], ""effect"": [""crash""]}]"
720566,Using dual-f9p gps with moving baseline yaw is recommended if the moving platform will cause problems with compasses.,False,False,accepting,none,True,[],[],[],[],[]
663482,The new guided mode interface produces jerk limited kinematic paths that reliably reproduce low rate guided commands without large ugly discontinuities.,False,False,accepting,singel,True,"[{""cause"": [2, 3, 4], ""effect"": [6, 7, 8, 9]}]","[{""cause"": [""guided"", ""mode"", ""interface""], ""effect"": [""jerk"", ""limited"", ""kinematic"", ""paths""]}]","[{""cause"": [""VERB"", ""NOUN"", ""NOUN""], ""effect"": [""NOUN"", ""VERB"", ""ADJ"", ""NOUN""]}]","[{""cause"": [""amod"", ""compound"", ""nsubj""], ""effect"": [""nmod"", ""amod"", ""amod"", ""dobj""]}]","[{""cause"": [""guide"", ""mode"", ""interface""], ""effect"": [""jerk"", ""limit"", ""kinematic"", ""path""]}]"
444511,Could the high offsets be caused by the fact that the flight controller and the compass are in different orientations?,False,False,accepting,none,True,[],[],[],[],[]
766116,That almost ensures the h_col_mid value is producing thrust.,False,False,accepting,singel,True,"[{""cause"": [4, 5], ""effect"": [8]}]","[{""cause"": [""h_col_mid"", ""value""], ""effect"": [""thrust""]}]","[{""cause"": [""NOUN"", ""NOUN""], ""effect"": [""NOUN""]}]","[{""cause"": [""compound"", ""nsubj""], ""effect"": [""dobj""]}]","[{""cause"": [""h_col_mid"", ""value""], ""effect"": [""thrust""]}]"
145965,Im not sure if you have to wait for the emlid guys to produce a new binary or if you can just get it from the.,False,False,accepting,none,True,[],[],[],[],[]
525693,The gps module itself shouldnt really generate any heat.,False,False,accepting,none,True,[],[],[],[],[]
422001,"Using 3.6.6 nutx results in a functioning lidar, while 3.6.6 chibios produces bad lidar health messages, along with random readings distance readings.",False,False,accepting,multiple,True,"[{""cause"": [1, 2], ""effect"": [6, 7]}, {""cause"": [10, 11], ""effect"": [13, 14, 15, 16]}]","[{""cause"": [""3.6.6"", ""nutx""], ""effect"": [""functioning"", ""lidar""]}, {""cause"": [""3.6.6"", ""chibios""], ""effect"": [""bad"", ""lidar"", ""health"", ""messages""]}]","[{""cause"": [""NUM"", ""NOUN""], ""effect"": [""VERB"", ""NOUN""]}, {""cause"": [""PROPN"", ""NOUN""], ""effect"": [""ADJ"", ""NOUN"", ""NOUN"", ""NOUN""]}]","[{""cause"": [""dobj"", ""compound""], ""effect"": [""amod"", ""pobj""]}, {""cause"": [""compound"", ""nsubj""], ""effect"": [""amod"", ""compound"", ""compound"", ""dobj""]}]","[{""cause"": [""3.6.6"", ""nutx""], ""effect"": [""function"", ""lidar""]}, {""cause"": [""3.6.6"", ""chibio""], ""effect"": [""bad"", ""lidar"", ""health"", ""message""]}]"
421061,Just try a standard transmitter activated esc calibration procedure.,False,False,accepting,none,True,[],[],[],[],[]
862393,Comes with a simple gui interface to define which pwm values will trigger what port.,False,False,accepting,none,True,[],[],[],[],[]
239955,Could prop wash over the pixhawk cause an issue as well?,False,False,accepting,none,True,[],[],[],[],[]
181267,Fitted pixhawk2.1 and first tests resulted in the octo heading off in random directions with no response to rc stick input.,False,False,accepting,singel,True,"[{""cause"": [0, 1, 2, 3, 4], ""effect"": [8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]}]","[{""cause"": [""Fitted"", ""pixhawk2.1"", ""and"", ""first"", ""tests""], ""effect"": [""octo"", ""heading"", ""off"", ""in"", ""random"", ""directions"", ""with"", ""no"", ""response"", ""to"", ""rc"", ""stick"", ""input""]}]","[{""cause"": [""VERB"", ""NOUN"", ""CCONJ"", ""ADJ"", ""NOUN""], ""effect"": [""NOUN"", ""VERB"", ""ADP"", ""ADP"", ""ADJ"", ""NOUN"", ""ADP"", ""DET"", ""NOUN"", ""ADP"", ""PROPN"", ""PROPN"", ""NOUN""]}]","[{""cause"": [""amod"", ""nsubj"", ""cc"", ""amod"", ""conj""], ""effect"": [""pobj"", ""advcl"", ""prt"", ""prep"", ""amod"", ""pobj"", ""prep"", ""det"", ""pobj"", ""prep"", ""compound"", ""compound"", ""pobj""]}]","[{""cause"": [""fit"", ""pixhawk2.1"", ""and"", ""first"", ""test""], ""effect"": [""octo"", ""head"", ""off"", ""in"", ""random"", ""direction"", ""with"", ""no"", ""response"", ""to"", ""rc"", ""stick"", ""input""]}]"
492538,I think your atc_ang p values and atc_rat pids are all a bit too low. so increasing the filters alone could allow those pids to cause oscillations - or might not.,False,True,accepting,none,True,[],[],[],[],[]
